"Name","Bd_Inhibition","Bd_Inhibition_Prior","TaxaID","Dataset","NameNoDSLabel"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_3","Inhibitory",1,"Taxon12","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_3"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_1","Inhibitory",1,"Taxon13","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_1"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Wautersiella;_1","Inhibitory",1,"Taxon14","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Wautersiella;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_4","Non-Inhibitory",0,"Taxon15","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_4"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;_1","Non-Inhibitory",0,"Taxon16","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;_1"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;_1","Non-Inhibitory",0,"Taxon17","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;_1"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;_1","Non-Inhibitory",0,"Taxon18","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;_1"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;_2","Non-Inhibitory",0,"Taxon19","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_5","Non-Inhibitory",0,"Taxon20","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_5"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Cupriavidus;_1","Non-Inhibitory",0,"Taxon21","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Cupriavidus;_1"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;_1","Non-Inhibitory",0,"Taxon22","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_6","Non-Inhibitory",0,"Taxon23","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_6"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_2","Non-Inhibitory",0,"Taxon24","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_1","Non-Inhibitory",0,"Taxon25","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_3","Non-Inhibitory",0,"Taxon26","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_3"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_7","Non-Inhibitory",0,"Taxon27","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_7"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;_2","Non-Inhibitory",0,"Taxon28","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;_2"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_2","Non-Inhibitory",0,"Taxon29","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_2"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_3","Non-Inhibitory",0,"Taxon30","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_3"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_4","Non-Inhibitory",0,"Taxon31","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_4"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia;_1","Non-Inhibitory",0,"Taxon32","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_1","Non-Inhibitory",0,"Taxon33","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_1","Non-Inhibitory",0,"Taxon34","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_8","Non-Inhibitory",0,"Taxon35","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_8"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_9","Non-Inhibitory",0,"Taxon36","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_9"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_10","Non-Inhibitory",0,"Taxon37","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_10"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;_1","Non-Inhibitory",0,"Taxon38","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;_1"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_1","Non-Inhibitory",0,"Taxon39","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_1"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_3","Non-Inhibitory",0,"Taxon40","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_3"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;_1","Non-Inhibitory",0,"Taxon41","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;_1"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_4","Non-Inhibitory",0,"Taxon42","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_4"
"Woodhams:Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;multivorum;_1","Non-Inhibitory",0,"Taxon43","Woodhams","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;multivorum;_1"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_2","Non-Inhibitory",0,"Taxon44","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_2"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;_1","Non-Inhibitory",0,"Taxon45","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_2","Non-Inhibitory",0,"Taxon46","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;_1","Non-Inhibitory",0,"Taxon47","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;_1","Non-Inhibitory",0,"Taxon48","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;_1"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus;_1","Non-Inhibitory",0,"Taxon49","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus;_1"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;_1","Non-Inhibitory",0,"Taxon50","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;_1"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_5","Non-Inhibitory",0,"Taxon51","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;[Weeksellaceae];Chryseobacterium;_5"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_11","Non-Inhibitory",0,"Taxon52","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_11"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_1","Non-Inhibitory",0,"Taxon53","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_1"
"Woodhams:Bacteria;[Thermi];Deinococci;Deinococcales;Deinococcaceae;Deinococcus;_1","Non-Inhibitory",0,"Taxon54","Woodhams","Bacteria;[Thermi];Deinococci;Deinococcales;Deinococcaceae;Deinococcus;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_4","Non-Inhibitory",0,"Taxon55","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_4"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;_1","Non-Inhibitory",0,"Taxon56","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;_1"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_3","Non-Inhibitory",0,"Taxon57","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_3"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_5","Non-Inhibitory",0,"Taxon58","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_5"
"Woodhams:Bacteria;[Thermi];Deinococci;Deinococcales;Deinococcaceae;Deinococcus;_2","Non-Inhibitory",0,"Taxon59","Woodhams","Bacteria;[Thermi];Deinococci;Deinococcales;Deinococcaceae;Deinococcus;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;_2","Non-Inhibitory",0,"Taxon60","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;_2"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_5","Non-Inhibitory",0,"Taxon61","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;_5"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia;_1","Non-Inhibitory",0,"Taxon62","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Gordonia;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_6","Inhibitory",1,"Taxon63","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;_6"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_2","Inhibitory",1,"Taxon64","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;alcaligenes;_1","Inhibitory",1,"Taxon65","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;alcaligenes;_1"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;_1","Inhibitory",1,"Taxon66","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_3","Inhibitory",1,"Taxon67","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;_3"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens;_3","Inhibitory",1,"Taxon68","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;marcescens;_3"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_12","Inhibitory",1,"Taxon69","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_12"
"Woodhams:Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;_2","Inhibitory",1,"Taxon70","Woodhams","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;_2"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Ralstonia;_1","Inhibitory",1,"Taxon71","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Ralstonia;_1"
"Woodhams:Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;_2","Non-Inhibitory",0,"Taxon72","Woodhams","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;_2"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_4","Non-Inhibitory",0,"Taxon73","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;_4"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;_1","Non-Inhibitory",0,"Taxon74","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;viridiflava;_1","Non-Inhibitory",0,"Taxon75","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;viridiflava;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_3","Non-Inhibitory",0,"Taxon76","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_3"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_2","Non-Inhibitory",0,"Taxon77","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_3","Non-Inhibitory",0,"Taxon78","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_3"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;psychrolactophilus;_1","Non-Inhibitory",0,"Taxon79","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;psychrolactophilus;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_13","Non-Inhibitory",0,"Taxon80","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_13"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;_3","Non-Inhibitory",0,"Taxon81","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;_3"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Ewingella;americana;_1","Non-Inhibitory",0,"Taxon82","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Ewingella;americana;_1"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_14","Non-Inhibitory",0,"Taxon83","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;_14"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_4","Non-Inhibitory",0,"Taxon84","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_4"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_5","Non-Inhibitory",0,"Taxon85","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_5"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_6","Non-Inhibitory",0,"Taxon86","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_6"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_2","Non-Inhibitory",0,"Taxon87","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_2"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_7","Non-Inhibitory",0,"Taxon88","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_7"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_8","Non-Inhibitory",0,"Taxon89","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_8"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_9","Non-Inhibitory",0,"Taxon90","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;_9"
"Woodhams:Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;lividum;_1","Inhibitory",1,"Taxon91","Woodhams","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;lividum;_1"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_3","Inhibitory",1,"Taxon92","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_3"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_4","Inhibitory",1,"Taxon93","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_4"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_1","Inhibitory",1,"Taxon94","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_1"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_2","Inhibitory",1,"Taxon95","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_2"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_3","Inhibitory",1,"Taxon96","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_3"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_4","Inhibitory",1,"Taxon97","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_4"
"Woodhams:Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_5","Inhibitory",1,"Taxon98","Woodhams","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;succinicans;_5"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_4","Inhibitory",1,"Taxon99","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_4"
"Woodhams:Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_5","Inhibitory",1,"Taxon100","Woodhams","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;_5"
"Woodhams:Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Nocardia;_1","Inhibitory",1,"Taxon101","Woodhams","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Nocardia;_1"
